ID,Lớp,Chương,Bài học,Dạng toán,Mức độ,Loại câu,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Lời giải,Nguồn
L7-C1B3-001,7,Chương 1,Lũy thừa của số hữu tỉ,Tính giá trị lũy thừa,Nhan biet,Trac nghiem,"Giá trị của phép tính $(-\frac{1}{2})^3$ là:","$\frac{1}{8}$","$-\frac{1}{8}$","$\frac{3}{8}$","$-\frac{3}{8}$",B,"$(-\frac{1}{2})^3 = \frac{(-1)^3}{2^3} = -\frac{1}{8}$.",Toán 7 - KNTT
L7-C1B3-002,7,Chương 1,Lũy thừa của số hữu tỉ,Nhân hai lũy thừa,Nhan biet,Trac nghiem,"Kết quả của phép tính $2^3 \cdot 2^4$ viết dưới dạng một lũy thừa là:","$2^{12}$","$4^7$","$2^7$","$4^{12}$",C,"Giữ nguyên cơ số và cộng số mũ: $2^3 \cdot 2^4 = 2^{3+4} = 2^7$.",Toán 7 - KNTT
L7-C1B3-003,7,Chương 1,Lũy thừa của số hữu tỉ,Chia hai lũy thừa,Nhan biet,Trac nghiem,"Kết quả của phép tính $(-3)^5 : (-3)^2$ là:","$\left(-3\right)^3$","$\left(-3\right)^7$","$\frac{1}{3}$","$3^3$",A,"Giữ nguyên cơ số và trừ số mũ: $(-3)^5 : (-3)^2 = (-3)^{5-2} = (-3)^3$.",Toán 7 - KNTT
L7-C1B3-004,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa của lũy thừa,Nhan biet,Trac nghiem,"Khẳng định nào sau đây là đúng về lũy thừa của lũy thừa?","$\left(2^3\right)^2 = 2^5$","$\left(2^3\right)^2 = 2^6$","$\left(2^3\right)^2 = 2^9$","$\left(2^3\right)^2 = 4^6$",B,"Áp dụng công thức $(x^m)^n = x^{m \cdot n} \Rightarrow (2^3)^2 = 2^{3 \cdot 2} = 2^6$.",Toán 7 - KNTT
L7-C1B3-005,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa với số mũ 0,Nhan biet,Trac nghiem,"Giá trị của biểu thức $(\frac{2024}{2025})^0$ là:","$0$","$1$","$\frac{2024}{2025}$",Không xác định,B,"Quy ước: Với mọi số hữu tỉ $x \neq 0$ thì $x^0 = 1$. Do đó $(\frac{2024}{2025})^0 = 1$.",Toán 7 - KNTT
L7-C1B3-006,7,Chương 1,Lũy thừa của số hữu tỉ,Lý thuyết,Nhan biet,Trac nghiem,"Công thức lũy thừa của một tích là:","$(x \cdot y)^n = x^n \cdot y^n$","$(x \cdot y)^n = x \cdot y^n$","$(x \cdot y)^n = x^n \cdot y$","$(x \cdot y)^n = x^{2n} \cdot y^{2n}$",A,Lũy thừa của một tích bằng tích các lũy thừa.,Toán 7 - KNTT
L7-C1B3-007,7,Chương 1,Lũy thừa của số hữu tỉ,Tính giá trị lũy thừa,Nhan biet,Trac nghiem,"Tính giá trị của $(-\frac{3}{4})^2$:","$-\frac{9}{16}$","$\frac{9}{16}$","$-\frac{9}{4}$","$\frac{9}{8}$",B,"$(-\frac{3}{4})^2 = \frac{(-3)^2}{4^2} = \frac{9}{16}$.",Toán 7 - KNTT
L7-C1B3-008,7,Chương 1,Lũy thừa của số hữu tỉ,Tính chất về dấu,Thong hieu,Trac nghiem,"Xét dấu của lũy thừa, khẳng định nào sau đây sai?","$(-2)^4 = 2^4$","$(-2)^3 = -2^3$","$(-2)^4 = -2^4$","$(-5)^2 = 25$",C,"Lũy thừa với số mũ chẵn của một số âm luôn mang dấu dương. Do đó $(-2)^4 = 2^4 = 16$. Khẳng định C sai.",Toán 7 - KNTT
L7-C1B3-009,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Thong hieu,Trac nghiem,"Tìm số tự nhiên $x$, biết $3^x = 81$:","$x = 3$","$x = 4$","$x = 5$","$x = 9$",B,"Ta có $81 = 3^4$. Vậy $3^x = 3^4 \Rightarrow x = 4$.",Toán 7 - KNTT
L7-C1B3-010,7,Chương 1,Lũy thừa của số hữu tỉ,Tính toán biểu thức,Thong hieu,Trac nghiem,"Rút gọn biểu thức $M = \frac{2^5 \cdot 2^3}{2^7}$, ta được:","$2$","$4$","$8$","$1$",A,"$M = \frac{2^{5+3}}{2^7} = \frac{2^8}{2^7} = 2^{8-7} = 2^1 = 2$.",Toán 7 - KNTT
L7-C1B3-011,7,Chương 1,Lũy thừa của số hữu tỉ,Chia hai lũy thừa,Nhan biet,Trac nghiem,"Kết quả của phép tính $5^6 : 5^2$ viết dưới dạng lũy thừa là:","$5^4$","$5^3$","$\frac{1}{4}$","$25^4$",A,"$5^6 : 5^2 = 5^{6-2} = 5^4$.",Toán 7 - KNTT
L7-C1B3-012,7,Chương 1,Lũy thừa của số hữu tỉ,Biến đổi cơ số,Thong hieu,Trac nghiem,"Số $8^2$ viết dưới dạng lũy thừa cơ số 2 là:","$2^4$","$2^5$","$2^6$","$2^8$",C,"Ta có $8 = 2^3$, do đó $8^2 = (2^3)^2 = 2^{3 \cdot 2} = 2^6$.",Toán 7 - KNTT
L7-C1B3-013,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Thong hieu,Trac nghiem,"Tìm $x \in \mathbb{Q}$, biết $x^2 = \frac{16}{25}$:","$x = \frac{4}{5}$","$x = -\frac{4}{5}$","$x = \pm \frac{4}{5}$","$x = \frac{16}{25}$",C,"Ta có $\frac{16}{25} = (\frac{4}{5})^2 = (-\frac{4}{5})^2$. Vậy $x = \pm \frac{4}{5}$.",Toán 7 - KNTT
L7-C1B3-014,7,Chương 1,Lũy thừa của số hữu tỉ,Tính toán biểu thức,Thong hieu,Trac nghiem,"Giá trị của biểu thức $(\frac{1}{2})^2 \cdot 4^2$ là:","$1$","$2$","$4$","$8$",C,"Cách 1: $(\frac{1}{2} \cdot 4)^2 = 2^2 = 4$. Cách 2: $\frac{1}{4} \cdot 16 = 4$.",Toán 7 - KNTT
L7-C1B3-015,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Thong hieu,Trac nghiem,"Tìm số tự nhiên $x$, biết $2^{x-1} = 16$:","$x = 4$","$x = 5$","$x = 3$","$x = 17$",B,"Ta có $16 = 2^4 \Rightarrow 2^{x-1} = 2^4 \Rightarrow x - 1 = 4 \Rightarrow x = 5$.",Toán 7 - KNTT
L7-C1B3-016,7,Chương 1,Lũy thừa của số hữu tỉ,So sánh lũy thừa,Van dung,Trac nghiem,"So sánh hai lũy thừa $2^{300}$ và $3^{200}$, ta có:","$2^{300} > 3^{200}$","$2^{300} < 3^{200}$","$2^{300} = 3^{200}$",Không thể so sánh,B,"Đưa về cùng số mũ: $2^{300} = (2^3)^{100} = 8^{100}$; $3^{200} = (3^2)^{100} = 9^{100}$. Vì $8 < 9$ nên $8^{100} < 9^{100}$, vậy $2^{300} < 3^{200}$.",Toán 7 - KNTT
L7-C1B3-017,7,Chương 1,Lũy thừa của số hữu tỉ,Rút gọn biểu thức,Van dung,Trac nghiem,"Rút gọn biểu thức $A = \frac{9^2 \cdot 3^3}{27^2}$, ta được kết quả là:","$1$","$3$","$9$","$27$",B,"Đưa về cơ số 3: $A = \frac{(3^2)^2 \cdot 3^3}{(3^3)^2} = \frac{3^4 \cdot 3^3}{3^6} = \frac{3^7}{3^6} = 3^1 = 3$.",Toán 7 - KNTT
L7-C1B3-018,7,Chương 1,Lũy thừa của số hữu tỉ,Tìm x,Van dung,Trac nghiem,"Tìm $x$, biết $(x - 1)^3 = -8$:","$x = -2$","$x = -1$","$x = 3$","$x = 1$",B,"Ta có $-8 = (-2)^3 \Rightarrow (x - 1)^3 = (-2)^3 \Rightarrow x - 1 = -2 \Rightarrow x = -1$.",Toán 7 - KNTT
L7-C1B3-019,7,Chương 1,Lũy thừa của số hữu tỉ,Lũy thừa của số nguyên âm,Thong hieu,Trac nghiem,"Giá trị của biểu thức $P = (-1)^{2024} + (-1)^{2025}$ là:","$0$","$2$","$-2$","$1$",A,"Lũy thừa bậc chẵn của $-1$ là $1$, lũy thừa bậc lẻ của $-1$ là $-1$. $P = 1 + (-1) = 0$.",Toán 7 - KNTT
